TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-10 00:00:00.022314+00:00,76,15
2024-05-10 00:00:00.143707+00:00,931,67
2024-05-10 00:00:00.161826+00:00,65,16
2024-05-10 00:00:00.262229+00:00,1243,14
2024-05-10 00:00:00.340976+00:00,1483,71
2024-05-10 00:00:00.384485+00:00,1265,4
2024-05-10 00:00:00.413859+00:00,61,514
2024-05-10 00:00:00.509464+00:00,1602,13
2024-05-10 00:00:00.509897+00:00,1401,3
2024-05-10 00:00:00.517554+00:00,1760,70
2024-05-10 00:00:00.635675+00:00,993,1
2024-05-10 00:00:00.767126+00:00,1196,18
2024-05-10 00:00:00.884295+00:00,994,4
2024-05-10 00:00:01.083434+00:00,1803,20
2024-05-10 00:00:01.086180+00:00,716,1
2024-05-10 00:00:01.133158+00:00,994,1
2024-05-10 00:00:01.265424+00:00,74,21
2024-05-10 00:00:01.333101+00:00,931,44
2024-05-10 00:00:01.335364+00:00,716,1
2024-05-10 00:00:01.335822+00:00,716,1
2024-05-10 00:00:01.508869+00:00,1603,21
2024-05-10 00:00:01.517479+00:00,2041,1
2024-05-10 00:00:01.518580+00:00,641,34
2024-05-10 00:00:01.637155+00:00,994,2
2024-05-10 00:00:01.759946+00:00,1604,49
2024-05-10 00:00:01.760147+00:00,861,23
2024-05-10 00:00:01.787135+00:00,1434,14
2024-05-10 00:00:01.832931+00:00,710,53
2024-05-10 00:00:02.142673+00:00,994,2
2024-05-10 00:00:02.143974+00:00,66,18
2024-05-10 00:00:02.262176+00:00,1603,12
2024-05-10 00:00:02.268705+00:00,1775,97
2024-05-10 00:00:02.274512+00:00,633,14
2024-05-10 00:00:02.332872+00:00,935,2
2024-05-10 00:00:02.338011+00:00,1476,4
2024-05-10 00:00:02.547246+00:00,1125,26
2024-05-10 00:00:02.587123+00:00,935,28
2024-05-10 00:00:02.591426+00:00,930,52
2024-05-10 00:00:02.644384+00:00,994,2
2024-05-10 00:00:02.768403+00:00,1188,3
2024-05-10 00:00:02.892679+00:00,1960,3
2024-05-10 00:00:03.141393+00:00,994,1
2024-05-10 00:00:03.264333+00:00,723,25
2024-05-10 00:00:03.389841+00:00,1983,3
2024-05-10 00:00:03.517675+00:00,1823,54
2024-05-10 00:00:03.537763+00:00,1539,6
2024-05-10 00:00:03.761723+00:00,1604,33
2024-05-10 00:00:03.788452+00:00,1437,10
2024-05-10 00:00:03.789665+00:00,1539,11
2024-05-10 00:00:03.792404+00:00,1728,5
2024-05-10 00:00:03.889064+00:00,1983,3
2024-05-10 00:00:04.037935+00:00,1728,5
2024-05-10 00:00:04.085475+00:00,1477,7
2024-05-10 00:00:04.086808+00:00,1403,28
2024-05-10 00:00:04.155504+00:00,1922,7
2024-05-10 00:00:04.156058+00:00,1291,14
2024-05-10 00:00:04.286875+00:00,1728,3
2024-05-10 00:00:04.390196+00:00,63,4
2024-05-10 00:00:04.514734+00:00,1403,1
2024-05-10 00:00:04.517554+00:00,1390,27
2024-05-10 00:00:04.584244+00:00,1146,73
2024-05-10 00:00:04.634106+00:00,64,3
2024-05-10 00:00:04.635212+00:00,1508,508
2024-05-10 00:00:04.759361+00:00,416,277
2024-05-10 00:00:04.788361+00:00,899,26
2024-05-10 00:00:05.082309+00:00,1857,1
2024-05-10 00:00:05.084557+00:00,1406,14
2024-05-10 00:00:05.152286+00:00,921,8
2024-05-10 00:00:05.333956+00:00,1857,1
2024-05-10 00:00:05.335520+00:00,1479,1
2024-05-10 00:00:05.335829+00:00,1406,12
2024-05-10 00:00:05.517830+00:00,659,38
2024-05-10 00:00:05.522860+00:00,587,6
2024-05-10 00:00:05.650703+00:00,1207,30
2024-05-10 00:00:05.786801+00:00,900,34
2024-05-10 00:00:05.835872+00:00,1857,2
2024-05-10 00:00:05.837454+00:00,1480,3
2024-05-10 00:00:05.837659+00:00,1407,1
2024-05-10 00:00:06.082742+00:00,718,53
2024-05-10 00:00:06.085438+00:00,1408,17
2024-05-10 00:00:06.137504+00:00,63,4
2024-05-10 00:00:06.270018+00:00,588,5
2024-05-10 00:00:06.286621+00:00,901,30
2024-05-10 00:00:06.521942+00:00,1310,8
2024-05-10 00:00:06.650433+00:00,288,14
2024-05-10 00:00:06.755557+00:00,1032,222
2024-05-10 00:00:06.838894+00:00,1478,3
2024-05-10 00:00:07.038164+00:00,107,11
2024-05-10 00:00:07.138243+00:00,383,220
2024-05-10 00:00:07.139114+00:00,63,4
2024-05-10 00:00:07.152232+00:00,1021,32
2024-05-10 00:00:07.388079+00:00,411,1
2024-05-10 00:00:07.401739+00:00,1211,5
2024-05-10 00:00:07.537240+00:00,105,23
2024-05-10 00:00:07.655674+00:00,628,3
2024-05-10 00:00:07.789033+00:00,105,23
2024-05-10 00:00:07.900481+00:00,1018,1
2024-05-10 00:00:07.901360+00:00,1213,1
2024-05-10 00:00:07.903586+00:00,1294,3
2024-05-10 00:00:08.019127+00:00,589,4
2024-05-10 00:00:08.134255+00:00,274,109
2024-05-10 00:00:08.260011+00:00,725,24
2024-05-10 00:00:08.400565+00:00,1212,5
2024-05-10 00:00:08.401907+00:00,1018,16
2024-05-10 00:00:08.504535+00:00,1150,27
2024-05-10 00:00:08.589874+00:00,1856,2
2024-05-10 00:00:08.590435+00:00,1479,1
2024-05-10 00:00:08.632495+00:00,66,20
2024-05-10 00:00:08.651349+00:00,1225,3
2024-05-10 00:00:08.791584+00:00,1729,4
2024-05-10 00:00:08.836111+00:00,1388,39
2024-05-10 00:00:08.836452+00:00,1479,13
2024-05-10 00:00:08.900660+00:00,629,8
2024-05-10 00:00:09.038743+00:00,954,20
2024-05-10 00:00:09.256788+00:00,1098,3
2024-05-10 00:00:09.257273+00:00,1150,10
2024-05-10 00:00:09.334925+00:00,1480,12
2024-05-10 00:00:09.404382+00:00,1532,127
2024-05-10 00:00:09.404928+00:00,1295,8
2024-05-10 00:00:09.525794+00:00,309,13
2024-05-10 00:00:09.632658+00:00,66,17
2024-05-10 00:00:09.650524+00:00,926,8
2024-05-10 00:00:09.653451+00:00,1296,3
2024-05-10 00:00:09.755595+00:00,1507,3
2024-05-10 00:00:09.772411+00:00,590,6
2024-05-10 00:00:09.773619+00:00,310,20
2024-05-10 00:00:09.788091+00:00,956,18
2024-05-10 00:00:09.900502+00:00,609,9
2024-05-10 00:00:09.902277+00:00,1298,18
2024-05-10 00:00:10.082743+00:00,1858,5
2024-05-10 00:00:10.154939+00:00,288,14
2024-05-10 00:00:10.788655+00:00,1728,2
2024-05-10 00:00:10.902218+00:00,288,16
2024-05-10 00:00:11.016125+00:00,1706,277
2024-05-10 00:00:11.025220+00:00,931,23
2024-05-10 00:00:11.257255+00:00,1032,106
2024-05-10 00:00:11.267205+00:00,679,40
2024-05-10 00:00:11.331767+00:00,1026,6
2024-05-10 00:00:11.537954+00:00,1103,54
2024-05-10 00:00:11.584888+00:00,1862,16
2024-05-10 00:00:11.756558+00:00,1034,61
2024-05-10 00:00:11.787213+00:00,1103,8
2024-05-10 00:00:11.881238+00:00,1390,9
2024-05-10 00:00:11.907697+00:00,655,12
2024-05-10 00:00:12.005722+00:00,1035,9
2024-05-10 00:00:12.042820+00:00,961,22
2024-05-10 00:00:12.082032+00:00,1482,7
2024-05-10 00:00:12.082928+00:00,1391,4
2024-05-10 00:00:12.289024+00:00,1103,61
2024-05-10 00:00:12.518318+00:00,699,17
2024-05-10 00:00:13.009549+00:00,1246,1
2024-05-10 00:00:13.038334+00:00,1135,16
2024-05-10 00:00:13.132748+00:00,1393,59
2024-05-10 00:00:13.287532+00:00,104,14
2024-05-10 00:00:13.509196+00:00,1633,17
2024-05-10 00:00:13.509916+00:00,1246,25
2024-05-10 00:00:13.523985+00:00,317,31
